gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
48,IDLE,1768044808.7629912,1768044809.857137,-15156,5180,1092,-1048,-287,-257
48,IDLE,1768044808.7629912,1768044809.857137,-15252,5172,960,-1170,-525,-504
48,IDLE,1768044808.7629912,1768044809.857137,-15244,5160,932,-1615,-580,-602
48,IDLE,1768044808.7629912,1768044809.857137,-15200,5080,1048,-1684,-549,-479
48,IDLE,1768044808.7629912,1768044809.857137,-15132,5020,1064,-1376,-327,-334
48,IDLE,1768044808.7629912,1768044809.857137,-15128,5080,1060,-1047,-2,-190
48,IDLE,1768044808.7629912,1768044809.857137,-15204,5136,1140,-866,347,-26
48,IDLE,1768044808.7629912,1768044809.857137,-15232,5076,1244,-648,290,144
48,IDLE,1768044808.7629912,1768044809.857137,-15204,4964,1296,-525,49,200
48,IDLE,1768044808.7629912,1768044809.857137,-15092,4928,1376,-653,53,45
48,IDLE,1768044808.7629912,1768044809.857137,-15140,4976,1264,-831,23,-61
48,IDLE,1768044808.7629912,1768044809.857137,-15120,5036,1216,-889,28,-139
48,IDLE,1768044808.7629912,1768044809.857137,-15176,5052,1268,-925,123,-141
48,IDLE,1768044808.7629912,1768044809.857137,-15220,5000,1228,-886,192,-149
48,IDLE,1768044808.7629912,1768044809.857137,-15164,5020,1428,-692,213,-51
48,IDLE,1768044808.7629912,1768044809.857137,-15120,4996,1428,-550,245,-34
48,IDLE,1768044808.7629912,1768044809.857137,-15160,5100,1400,-476,205,-48
48,IDLE,1768044808.7629912,1768044809.857137,-15168,5120,1336,-490,190,-129
48,IDLE,1768044808.7629912,1768044809.857137,-15156,5184,1340,-501,29,-133
48,IDLE,1768044808.7629912,1768044809.857137,-15428,5180,1376,-494,-192,-205
48,IDLE,1768044808.7629912,1768044809.857137,-15324,5128,1424,-701,-538,-217
48,IDLE,1768044808.7629912,1768044809.857137,-15076,4976,1400,-751,-482,-265
48,IDLE,1768044808.7629912,1768044809.857137,-14864,4868,1208,-637,-45,-222
48,IDLE,1768044808.7629912,1768044809.857137,-15000,4724,940,-363,431,-31
48,IDLE,1768044808.7629912,1768044809.857137,-14940,4816,1168,-108,577,40
48,IDLE,1768044808.7629912,1768044809.857137,-15208,4884,1400,-273,620,-75
48,IDLE,1768044808.7629912,1768044809.857137,-15168,4832,1524,-503,495,-195
48,IDLE,1768044808.7629912,1768044809.857137,-15152,4904,1432,-600,433,-233
48,IDLE,1768044808.7629912,1768044809.857137,-15244,4888,1400,-556,489,-298
48,IDLE,1768044808.7629912,1768044809.857137,-15240,4972,1396,-542,455,-311
48,IDLE,1768044808.7629912,1768044809.857137,-15148,5008,1212,-385,356,-214
48,IDLE,1768044808.7629912,1768044809.857137,-14784,4724,1048,-290,736,-183
48,IDLE,1768044808.7629912,1768044809.857137,-14588,4880,796,-320,1250,-141
48,IDLE,1768044808.7629912,1768044809.857137,-14580,4708,1060,-462,1411,-168
48,IDLE,1768044808.7629912,1768044809.857137,-14748,4616,1264,-428,1320,-478
