label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
HELLO,1197.7,1.52,0.0,0.0,911.35,1.8,0.0,0.0,108.65,5.76,15905.0,738.33,-564.2,4901.24,1743.0,980.88,-187.75,2500.69,209.35,2440.97,1273.6,13349.81
HELLO,1198.25,2.05,0.0,0.0,910.55,4.63,0.0,0.0,107.1,9.48,14700.2,1437.99,-1159.6,8180.66,2710.2,1613.83,-284.25,9368.62,514.85,4395.99,-2723.8,21255.95
HELLO,1196.6,3.81,0.0,0.0,911.75,0.7,0.0,0.0,106.4,6.65,14572.2,1621.5,-3629.2,7554.35,2556.8,1355.28,-1010.35,5036.63,-559.45,4452.8,2873.4,20591.67
HELLO,1197.2,2.99,0.0,0.0,909.5,4.4,0.0,0.0,105.25,6.52,15316.0,970.04,-2494.6,5478.96,3027.2,1612.46,-500.6,3335.77,-432.65,4242.65,-1489.0,15362.1
HELLO,1196.2,4.89,0.0,0.0,910.15,2.83,0.0,0.0,119.7,10.42,14722.0,1477.92,67.4,6892.95,3809.4,1984.35,-2196.5,6683.21,1863.75,5237.75,383.15,19702.81
HELLO,1195.8,3.41,0.0,0.0,911.9,0.83,0.0,0.0,117.0,7.56,14433.0,1889.41,-3692.8,6517.03,4179.6,1131.34,431.35,6200.83,-637.3,3131.57,-2868.15,17723.12
HELLO,1194.7,3.12,0.0,0.0,911.65,0.96,0.0,0.0,131.6,9.19,15183.6,1218.88,-324.0,5936.39,3040.4,1747.28,-1377.1,3913.05,346.75,3866.51,881.0,14682.3
HELLO,1195.45,5.53,0.0,0.0,912.0,0.84,0.0,0.0,143.95,16.34,14612.2,1990.51,-1226.2,8348.53,5559.0,2323.07,142.15,7942.67,1848.5,3229.78,2120.9,20061.35
HELLO,1196.9,6.21,0.0,0.0,912.6,3.76,0.0,0.0,112.55,15.39,14714.0,2984.47,-2889.6,6116.23,2318.0,6240.15,-1509.3,5501.96,-3414.6,8679.52,-671.25,19235.2
HELLO,1194.7,3.98,0.0,0.0,911.3,5.68,0.0,0.0,71.05,8.71,12870.2,3029.99,-5710.0,6766.0,4838.2,5321.22,1727.45,6216.69,3890.8,5137.59,4372.85,13556.1
HELLO,1197.35,3.13,0.0,0.0,912.5,4.69,0.0,0.0,121.15,13.79,12048.4,1879.95,-2956.4,8695.54,6052.2,5310.82,-1141.25,7628.97,-5229.95,6424.98,-6007.65,18812.25
HELLO,1197.85,2.46,0.0,0.0,912.8,5.33,0.0,0.0,135.5,15.78,13798.6,3022.22,5540.8,8956.35,-151.6,2108.75,-54.3,7896.12,405.05,4825.97,1413.35,22263.78
HELLO,1197.8,6.61,0.0,0.0,910.85,6.68,0.0,0.0,120.75,15.49,15676.4,1588.61,-2501.8,6688.02,-208.0,1404.28,-247.2,6397.91,-187.15,3947.48,2720.75,17842.87
HELLO,1198.75,3.86,0.0,0.0,912.75,6.5,0.0,0.0,90.35,11.12,15762.6,1313.95,-1375.6,6768.0,-362.8,1381.69,-371.35,5529.27,1122.1,2564.2,-1728.35,18264.13
HELLO,1197.9,3.79,0.0,0.0,911.4,0.92,0.0,0.0,88.55,6.53,15968.8,1049.27,-2358.8,5433.34,2074.4,1629.59,495.9,4713.2,1491.1,3408.1,738.65,17029.94
HELLO,1199.45,2.62,0.0,0.0,910.9,2.81,0.0,0.0,94.35,2.01,16663.2,932.45,-47.8,1263.13,3449.6,1105.14,-541.3,2251.58,-174.8,2032.11,-665.3,2455.27
HELLO,1199.05,1.24,0.0,0.0,911.65,0.85,0.0,0.0,94.3,9.36,16024.2,1700.48,3.0,5653.41,2370.0,1337.46,-86.8,5517.51,193.4,2358.9,-846.85,15844.48
HELLO,1199.7,0.78,0.0,0.0,913.35,4.09,4.3,11.2,216.3,95.59,15973.2,745.86,1418.4,937.43,4534.4,1234.2,-156.15,1400.78,1479.0,1958.17,174.8,1638.71
HELLO,1198.85,1.56,8.0,12.33,912.45,2.94,40.7,8.57,496.35,29.55,14962.2,1037.6,3094.4,3649.11,5701.0,1745.29,-690.65,8891.04,-955.75,5157.69,299.0,10278.46
HELLO,1194.15,3.71,9.8,19.6,910.7,2.41,45.85,15.46,502.25,53.66,15895.4,817.78,2396.4,5105.85,2850.8,965.05,757.2,8292.24,451.85,1888.59,-670.0,13018.92
HELLO,1191.8,6.25,136.7,41.29,911.05,8.06,54.6,8.41,602.85,13.75,16033.0,912.08,946.2,3218.44,4352.4,1496.71,-247.25,3333.85,-333.9,2231.17,1428.2,4716.84
HELLO,1189.8,6.19,144.65,16.45,909.95,3.54,52.65,10.64,601.05,7.65,16476.8,288.35,505.0,385.36,2653.8,451.03,-388.9,544.49,365.9,617.77,1.4,687.81
HELLO,1192.6,2.44,126.6,9.23,913.6,7.45,49.0,10.63,589.9,3.39,16519.4,854.87,-289.6,3661.6,1133.2,1128.29,-938.6,4318.53,-845.55,1715.69,147.3,8058.39
HELLO,1190.95,5.49,125.5,16.22,913.75,6.83,51.35,13.71,593.55,4.87,16524.0,762.55,-546.6,2539.0,1632.0,1441.99,560.45,4245.02,1329.5,1912.73,1043.45,7227.35
HELLO,1193.4,3.48,29.65,45.49,912.1,10.0,56.35,15.42,583.65,5.23,16084.8,898.3,-2157.2,3462.81,2606.2,1053.56,-1215.35,5284.53,260.55,2609.3,-152.65,9270.5
HELLO,1194.2,2.01,0.0,0.0,913.15,10.36,73.6,11.01,567.6,5.55,16219.2,786.8,-701.2,4402.96,1892.6,1617.98,-262.95,4785.75,661.8,3695.06,1238.2,12238.96
HELLO,1195.8,3.68,4.95,21.58,911.5,6.84,60.0,7.73,552.75,8.75,16049.6,478.72,-2457.0,3813.29,2345.8,1332.66,-1017.5,4835.13,-291.5,3415.7,-771.15,10720.44
HELLO,1194.9,1.81,4.55,19.83,910.5,3.01,65.75,8.12,554.6,3.84,16270.4,599.66,-534.0,2894.99,2639.0,1548.83,2479.7,4627.91,844.55,2968.23,-243.6,8958.91
HELLO,1194.4,1.83,0.0,0.0,911.8,3.03,32.25,15.94,514.0,24.19,15825.4,814.58,-609.6,5779.95,1757.6,1519.36,-2903.35,10756.8,863.1,4220.77,1024.6,17192.96
HELLO,1197.45,1.96,0.0,0.0,908.7,9.96,2.95,4.87,477.5,15.3,14648.2,1477.79,-1820.8,8882.08,3364.2,2108.39,-165.95,9216.87,-812.2,4395.49,-2885.55,22159.47
HELLO,1197.35,4.92,76.7,105.0,915.9,5.31,45.85,14.03,561.9,24.74,16066.2,1933.7,-2748.8,4944.27,2869.2,1794.8,1687.7,5003.87,-413.6,3169.7,-1102.8,12536.76
HELLO,1196.5,3.61,0.0,0.0,913.45,7.65,24.95,17.47,483.6,39.09,14969.6,1760.46,-215.0,7448.04,3126.8,3526.64,-4359.45,9781.66,1440.75,7836.86,1399.75,19594.29
HELLO,1198.05,1.56,0.0,0.0,913.5,7.26,0.0,0.0,387.1,15.66,15200.8,978.36,175.6,6231.67,2239.6,2146.31,190.75,10770.41,-518.25,5744.47,-561.3,22132.94
HELLO,1197.85,0.79,0.0,0.0,912.2,1.66,0.0,0.0,393.6,34.81,15483.4,919.6,-3226.8,6333.79,2336.0,2340.39,-1223.35,5624.84,-545.6,5789.62,1036.8,18808.32
HELLO,1198.1,1.79,0.0,0.0,912.05,0.22,15.7,6.48,467.0,19.34,16069.8,654.64,-2518.6,4787.17,1536.4,926.3,173.1,7877.52,123.6,3479.58,-1329.4,15989.13
HELLO,1198.35,1.28,0.0,0.0,912.95,5.22,10.0,5.57,440.2,9.45,16070.2,672.31,-1858.8,4812.81,933.6,1267.2,-340.45,7220.01,-241.55,3455.61,-1314.35,14559.22
HELLO,1198.7,1.35,0.0,0.0,911.7,1.35,10.25,5.14,447.45,12.99,15734.8,881.24,-1447.6,5267.44,2324.6,718.6,-484.4,7308.77,1069.7,2850.28,226.7,16175.57
HELLO,1198.0,1.1,0.0,0.0,911.8,0.6,5.9,6.64,454.8,10.81,15627.8,1031.61,-590.6,6147.75,2512.6,750.09,-763.1,8252.81,165.3,2616.11,931.2,17457.98
HELLO,1197.3,1.38,0.0,0.0,911.75,0.43,0.15,0.65,456.2,6.58,15599.2,765.62,-2325.2,5491.13,3320.2,953.07,776.35,7320.49,9.85,2860.0,-1715.8,14323.6
HELLO,1197.75,1.13,0.0,0.0,912.0,0.32,0.15,0.48,437.05,19.97,13767.8,1815.54,-3474.4,7772.62,4317.2,2687.15,1548.65,9123.44,1593.25,5245.63,2014.7,20412.36
HELLO,1197.45,1.53,0.0,0.0,911.25,4.72,6.3,12.74,446.5,40.53,11207.8,2442.62,-8613.6,7538.65,8119.2,3295.03,-2239.8,9045.6,-2551.05,9564.9,-3295.3,23355.46
HELLO,1199.4,4.47,0.0,0.0,911.9,0.7,22.75,12.43,488.85,37.96,14912.2,2934.11,4236.6,7556.1,231.6,2588.4,-1706.25,10522.75,283.05,5357.76,6370.35,21190.34
HELLO,1197.85,2.01,0.0,0.0,910.45,2.78,1.15,3.41,411.35,15.8,12650.2,1992.86,-3649.0,10118.82,1515.4,3405.3,-284.55,8261.55,200.7,8744.67,-2581.0,26408.36
HELLO,1197.4,2.5,0.0,0.0,911.4,1.69,0.55,2.4,387.8,22.99,15029.0,2203.48,-2574.2,9856.51,1495.8,2282.37,340.65,10554.3,-522.85,5302.2,-2134.8,22427.21
HELLO,1197.9,2.39,0.0,0.0,910.1,3.08,0.0,0.0,291.6,26.04,15868.4,926.89,-592.4,4074.45,4139.6,1790.17,631.55,7779.75,500.3,5037.45,-1762.35,11418.6
HELLO,1198.65,1.49,0.0,0.0,911.95,0.38,11.1,17.18,367.25,87.18,15619.2,697.49,-2306.8,6705.96,1389.6,1702.97,-1206.45,8356.9,347.25,5044.78,-71.65,20880.45
HELLO,1195.45,6.79,0.0,0.0,913.7,5.34,58.6,9.21,565.7,10.1,15685.6,781.58,-379.4,4894.52,4236.6,1749.8,68.5,5950.11,398.3,3947.54,-358.45,12190.2
HELLO,1192.2,5.32,0.0,0.0,912.35,4.15,56.0,11.99,534.3,15.21,15477.0,780.3,-1774.8,5273.8,4700.2,1239.45,-1122.8,7148.75,1362.8,3128.28,1778.75,14236.24
HELLO,1193.65,1.49,0.0,0.0,911.7,1.38,37.5,11.77,498.95,10.73,15439.4,661.39,-1798.0,878.21,5433.8,1047.53,101.3,1474.82,277.2,1180.27,-653.85,2046.71
HELLO,1194.15,2.15,0.0,0.0,911.85,0.36,14.8,7.41,456.75,20.05,15844.4,1634.37,-311.4,5502.23,2511.8,2411.1,774.5,8420.64,-1580.85,6542.61,-2702.25,18994.46
HELLO,1196.3,1.85,0.0,0.0,911.55,1.4,2.6,4.79,432.2,18.43,16069.0,1475.63,2530.2,4887.59,2649.6,1813.91,-2192.45,7220.5,601.9,4995.42,1827.7,16274.92
HELLO,1195.8,2.73,0.0,0.0,911.1,1.22,0.0,0.0,382.4,23.45,15590.6,1308.82,-1453.8,4662.6,3701.2,2038.53,-562.85,7551.13,911.45,5416.9,2073.9,16409.84
HELLO,1197.2,2.82,0.0,0.0,910.7,1.68,0.05,0.22,395.5,17.03,16183.4,1317.62,-500.6,3852.13,3828.6,1186.08,-888.85,5146.79,-392.8,3226.07,3.05,12375.02
HELLO,1195.8,3.84,0.0,0.0,912.15,0.57,27.3,22.85,475.3,82.69,15050.4,1393.04,-3631.4,6415.41,2438.2,1842.65,81.45,8030.42,-976.55,4978.41,-2023.75,19395.53
HELLO,1196.35,1.98,0.0,0.0,911.8,0.51,51.25,9.06,581.1,10.37,15978.0,853.04,-1561.4,5468.17,2641.0,1713.61,-927.3,6243.37,319.9,4119.74,981.15,13122.9
HELLO,1196.85,2.26,0.0,0.0,911.65,1.74,38.85,18.07,548.5,19.44,15439.0,844.43,-2470.2,5489.51,3701.0,1511.95,-706.3,8905.02,1239.4,6013.93,1208.4,18421.14
HELLO,1197.65,2.83,0.0,0.0,910.15,6.34,12.8,4.2,464.2,22.35,15666.6,1136.71,-1910.0,4382.81,3856.4,1257.2,-1320.8,7741.98,275.8,4143.26,542.55,12593.96
HELLO,1198.0,2.39,0.0,0.0,910.6,1.66,3.85,7.94,372.4,32.45,15683.8,1366.94,-1180.4,3204.09,4586.4,1381.34,545.35,5204.71,-27.65,3534.58,-2884.1,8929.84
HELLO,1199.0,1.1,0.0,0.0,910.35,1.28,0.0,0.0,297.9,12.62,15560.8,599.68,-3380.4,1616.83,5118.6,731.51,-1266.9,2081.39,193.05,1619.52,1494.55,2290.2
HELLO,1199.3,0.64,0.0,0.0,910.6,0.97,0.0,0.0,286.0,1.7,15745.8,372.74,-3950.8,968.17,4481.4,442.83,514.9,3114.86,-194.25,954.83,-1745.35,4557.75
HELLO,1197.4,3.32,0.0,0.0,911.4,1.11,6.9,17.25,354.75,66.01,15955.6,914.76,-588.8,5003.21,3098.6,1356.91,540.3,7492.69,344.45,3256.16,121.6,15848.6
HELLO,1188.05,2.42,57.7,80.87,912.15,2.78,54.95,10.76,586.15,9.25,15662.8,884.21,-633.6,5288.32,5189.8,2005.82,-387.95,7625.02,1672.0,3522.43,110.05,12885.82
HELLO,1192.8,1.57,0.0,0.0,911.55,0.74,44.95,10.67,554.55,6.22,15134.4,784.14,-1127.8,4772.47,6107.8,1156.94,-228.85,7697.01,-428.1,2939.67,-301.7,11335.96
HELLO,1194.6,1.07,0.0,0.0,911.0,2.28,31.65,5.6,524.8,12.84,15236.2,981.33,2119.0,3876.9,4948.8,1493.79,241.75,9677.37,1045.8,2876.05,732.5,11670.77
HELLO,1195.45,1.56,0.0,0.0,911.3,0.78,17.05,14.18,488.2,24.67,14834.2,1495.62,-771.4,5854.1,6667.0,1772.29,-2972.1,11739.69,399.25,3799.88,829.95,17813.92
